English Name,Arabic Name,Domain
MTCIT,????? ????? ?????????? ?????? ?????????,mtcit.gov.om
Ministry of Education,????? ???????,moe.om
Ministry of Defence,????? ??????,mod.gov.om
Ministry of Health,????? ?????,moh.gov.om
Ministry of Labour,????? ?????,mol.gov.om
National Records & Archives Authority,???? ??????? ?????????? ???????,nraa.gov.om
National Centre for Statistics & Information,?????? ?????? ???????,ncsi.gov.om
"Projects, Tenders & Local Content Authority",???? ???????? ?????????? ???????? ??????,ptlc.gov.om
Governorate of Al Buraimi,?????? ???????,bur.gov.om
Supreme Judicial Council,?????? ?????? ??????,sjc.gov.om
Sultan Qaboos University,????? ??????? ?????,squ.edu.om
University of Technology & Applied Sciences,????? ??????? ??????? ?????????,utas.edu.om
Special Economic Zones Authority (OPAZ),?????? ?????? ??????? ?????????? ?????? ???????? ?????,opaz.gov.om
Ministry of Information,????? ???????,omaninfo.om
"Ministry of Culture, Sports & Youth",????? ??????? ???????? ???????,mcsy.gov.om
Ministry of Awqaf & Religious Affairs,????? ??????? ??????? ???????,mara.gov.om
Governorate of Al Dhahirah,?????? ???????,dhr.gov.om
Ministry of Energy & Minerals,????? ?????? ????????,mem.gov.om
Tax Authority,???? ???????,taxoman.gov.om
Internal Security Service,???? ????? ???????,goo.gov.om
Governorate of North Al Sharqiyah,?????? ???? ???????,nsg.gov.om
Madayn,??????? ?????? ??????? ????????-?????,madayn.om
Royal Oman Police,???? ???? ?????????,rop.gov.om
State Audit Institution,???? ??????? ??????? ????????? ??????,sai.gov.om
Ministry of Social Development,????? ??????? ??????????,mosd.gov.om
Oman Investment Authority,???? ????????? ???????,oia.gov.om
Governorate of North Al Batinah,?????? ???? ???????,bng.gov.om
Royal Academy of Management,?????????? ????????? ???????,ram.gov.om
Consumer Protection Authority,???? ????? ????????,cpa.gov.om
Royal Court,?????? ????????,ro.gov.om
"Ministry of Agricultural Wealth, Fisheries & Water Resources",????? ?????? ???????? ???????? ?????? ??????,mafwr.gov.om
Governorate of South Al Batinah,?????? ???? ???????,bsgo.gov.om
Governorate of South Al Sharqiyah,?????? ???? ???????,ssg.gov.om
"Ministry of Commerce, Industry & Investment Promotion",????? ??????? ???????? ?????? ?????????,tejarah.gov.om
Oman Academic Accreditation & Quality Assurance Authority,?????? ???????? ???????? ????????? ????? ???? ???????,oaaaqa.gov.om
Ministry of Justice & Legal Affairs,????? ????? ??????? ?????????,mjla.gov.om
Civil Aviation Authority,???? ??????? ??????,caa.gov.om
Ministry of Education,????? ???????,moheri.gov.om
Oman Vision 2040 Implementation Follow-up Unit,???? ?????? ????? ???? ???? 2040,oman2040.om
Ministry of Finance,????? ???????,mof.gov.om
Governorate of Muscat,?????? ????,gom.gov.om
Governorate of Dhofar,?????? ????,dhofar.gov.om
Public Prosecution,??????? ?????,opp.gov.om
SME Development Authority,???? ????? ???????? ??????? ?????????,sme.gov.om
Governorate of Musandam,?????? ?????,mg.gov.om
Ministry of Heritage & Tourism,????? ?????? ? ???????,mht.gov.om
Ministry of Economy,????? ????????,economy.gov.om
Financial Services Authority,???? ??????? ???????,fsa.gov.om
Ministry of Interior,????? ????????,moi.gov.om
Ministry of Housing & Urban Planning,????? ??????? ???????? ????????,housing.gov.om
Oman Chamber of Commerce & Industry,???? ????? ?????? ????,omanchamber.om
Governorate of Al Wusta,?????? ??????,alwusta.gov.om
Central Bank of Oman,????? ??????? ???????,cbo.gov.om
Ministry of Foreign Affairs,????? ????????,fm.gov.om
Oman Medical Specialty Board,?????? ??????? ?????????? ??????,omsb.org
Authority for Public Services Regulation,???? ????? ??????? ??????,apsr.om
Social Protection Fund,????? ??????? ??????????,spf.gov.om
Environment Authority,???? ??????,ea.gov.om
Telecommunications Regulatory Authority,???? ????? ?????????,tra.gov.om
Governorate of Ad Dakhliyah,?????? ????????,dg.gov.om
TOTAL,,60
