ministry_domain,total_conversations,total_messages,avg_messages_per_user
alwusta.gov.om,1,1,1.0
apsr.om,1,7,7.0
bng.gov.om,4,9,3.0
bur.gov.om,22,99,12.38
caa.gov.om,2,4,4.0
cpa.gov.om,4,5,1.67
dhofar.gov.om,3,8,4.0
dhr.gov.om,26,91,7.58
fm.gov.om,9,27,3.86
fsa.gov.om,394,678,52.15
goo.gov.om,6,13,4.33
gsc.gov.om,5,30,15.0
madayn.om,94,272,19.43
mara.gov.om,3,12,6.0
mcsy.gov.om,29,84,4.0
mem.gov.om,25,68,9.71
mg.gov.om,1,1,0.0
mht.gov.om,9,20,6.67
mjla.gov.om,4,7,1.75
mod.gov.om,25,97,8.82
moe.om,160,411,3.84
mof.gov.om,53,158,5.64
moh.gov.om,11,20,10.0
moi.gov.om,1,15,15.0
mol.gov.om,16,47,4.27
mtcit.gov.om,255,786,7.02
ncsi.gov.om,11,67,13.4
nraa.gov.om,59,174,8.7
nsg.gov.om,5,13,6.5
oaaaqa.gov.om,10,33,8.25
oia.gov.om,72,256,14.22
omanchamber.om,3,7,3.5
omaninfo.om,18,67,6.09
opaz.gov.om,12,40,6.67
ptlc.gov.om,7,30,10.0
ram.gov.om,9,25,4.17
ro.gov.om,4,58,19.33
sai.gov.om,8,20,10.0
sjc.gov.om,135,294,3.87
sme.gov.om,17,40,3.33
squ.edu.om,22,48,4.0
student.squ.edu.om,8,47,7.83
taxoman.gov.om,14,37,3.36
tejarah.gov.om,1,5,5.0
utas.edu.om,42,114,5.7
