ministry_domain,total_users
alwusta.gov.om,1
apsr.om,1
bng.gov.om,3
bur.gov.om,8
caa.gov.om,1
cpa.gov.om,3
dhofar.gov.om,2
dhr.gov.om,12
fm.gov.om,7
fsa.gov.om,13
goo.gov.om,3
gsc.gov.om,2
madayn.om,14
mara.gov.om,2
mcsy.gov.om,21
mem.gov.om,7
mht.gov.om,3
mjla.gov.om,4
mod.gov.om,11
moe.om,107
mof.gov.om,28
moh.gov.om,2
moi.gov.om,1
mol.gov.om,11
mtcit.gov.om,112
ncsi.gov.om,5
nraa.gov.om,20
nsg.gov.om,2
oaaaqa.gov.om,4
oia.gov.om,18
omanchamber.om,2
omaninfo.om,11
opaz.gov.om,6
ptlc.gov.om,3
ram.gov.om,6
ro.gov.om,3
sai.gov.om,2
sjc.gov.om,76
sme.gov.om,12
squ.edu.om,12
student.squ.edu.om,6
taxoman.gov.om,11
tejarah.gov.om,1
utas.edu.om,20
